"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified"
"ASV2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001"
"ASV4","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"ASV5","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","Unclassified","Unclassified"
"ASV6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified"
"ASV7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV8","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified"
"ASV10","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group"
"ASV11","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified"
"ASV12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified"
"ASV13","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV14","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","Unclassified"
"ASV15","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","Unclassified"
"ASV16","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group"
"ASV17","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified"
"ASV18","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified"
